variant,method,axis,common_prompt_value,method_own_prompt_value
current_filtered,baseline,capability,0.6104761616863086,0.6106368284467782
current_filtered,baseline,unintended_generalization,0.2646287300304438,0.2651236097429296
current_filtered,freeze_first,capability,0.5404953675703871,0.5406314193221148
current_filtered,freeze_first,unintended_generalization,0.305617979142421,0.306958125541529
current_filtered,freeze_last,capability,0.6784294941917676,0.6784991653825311
current_filtered,freeze_last,unintended_generalization,0.18646276780009544,0.1875860378661855
current_filtered,freeze_second,capability,0.584232876406943,0.5840263629974406
current_filtered,freeze_second,unintended_generalization,0.2742289746938076,0.27446190932567127
current_filtered,ip,capability,0.4088759831211042,0.4097356916099773
current_filtered,ip,unintended_generalization,0.16108290947702383,0.16161562089696702
current_filtered,kld,capability,0.5689276069796715,0.568865124550795
current_filtered,kld,unintended_generalization,0.086563425872429,0.08681191195343813
current_raw,baseline,capability,0.6184629812295288,0.6184629812295288
current_raw,baseline,unintended_generalization,0.2767008079522045,0.277519278192518
current_raw,freeze_first,capability,0.5469806897203325,0.5469806897203325
current_raw,freeze_first,unintended_generalization,0.3169959605145519,0.3170119146994105
current_raw,freeze_last,capability,0.7004127784076594,0.7004127784076594
current_raw,freeze_last,unintended_generalization,0.20066943998012077,0.20139701976028507
current_raw,freeze_second,capability,0.5922181878306878,0.5922181878306878
current_raw,freeze_second,unintended_generalization,0.2840958338850049,0.2849553022327257
current_raw,ip,capability,0.4102717328042328,0.4102717328042328
current_raw,ip,unintended_generalization,0.172645783521583,0.17318926704279594
current_raw,kld,capability,0.5699484788359788,0.5699484788359788
current_raw,kld,unintended_generalization,0.08682741877517593,0.0870504251577976
paper_filtered,baseline,capability,0.6158145054708891,0.6156765975454509
paper_filtered,baseline,unintended_generalization,0.26345190571196625,0.2648158042878848
paper_filtered,freeze_first,capability,0.5451124422584527,0.5452271101033006
paper_filtered,freeze_first,unintended_generalization,0.30780672490561484,0.3087099533182273
paper_filtered,freeze_last,capability,0.6926558195638626,0.6927224131311139
paper_filtered,freeze_last,unintended_generalization,0.18071058165636045,0.18173524952308964
paper_filtered,freeze_second,capability,0.5898411580769268,0.5897382689528052
paper_filtered,freeze_second,unintended_generalization,0.2708904677134249,0.27183399205040365
paper_filtered,ip,capability,0.41057884142723955,0.4105210733182162
paper_filtered,ip,unintended_generalization,0.13388907322344498,0.13384142056293416
paper_filtered,kld,capability,0.5700025798032579,0.5698991320231797
paper_filtered,kld,unintended_generalization,0.06502155609196586,0.06507091628137546
paper_raw,baseline,capability,0.6184629812295288,0.6184629812295288
paper_raw,baseline,unintended_generalization,0.26943714570640137,0.27029436309155697
paper_raw,freeze_first,capability,0.5469806897203325,0.5469806897203325
paper_raw,freeze_first,unintended_generalization,0.31191494630227357,0.3118526202682815
paper_raw,freeze_last,capability,0.7004127784076594,0.7004127784076594
paper_raw,freeze_last,unintended_generalization,0.186922571188692,0.18776444228485045
paper_raw,freeze_second,capability,0.5922181878306878,0.5922181878306878
paper_raw,freeze_second,unintended_generalization,0.2769240097389993,0.2779317617378842
paper_raw,ip,capability,0.4102717328042328,0.4102717328042328
paper_raw,ip,unintended_generalization,0.14162638649491358,0.1421564850808048
paper_raw,kld,capability,0.5699484788359788,0.5699484788359788
paper_raw,kld,unintended_generalization,0.06510426281197042,0.06515709696577043
