variant,method,axis,total_n,valid_primary_n,retained_n,missing_primary_n,missing_coherence_n,total_prompts,retained_prompts,primary_coverage,coherence_retention_given_valid,prompt_retention
current_filtered,baseline,capability,19200,18889,17227,311,0,1920,1915,0.9838020833333333,0.9120122822806924,0.9973958333333334
current_filtered,baseline,unintended_generalization,39000,38048,34977,952,0,3900,3876,0.9755897435897436,0.9192861648444071,0.9938461538461538
current_filtered,freeze_first,capability,19200,18754,17194,446,0,1920,1918,0.9767708333333334,0.9168177455476165,0.9989583333333333
current_filtered,freeze_first,unintended_generalization,39000,37583,35061,1417,0,3900,3871,0.9636666666666667,0.9328951919750951,0.9925641025641025
current_filtered,freeze_last,capability,19200,18950,15405,250,0,1920,1911,0.9869791666666666,0.8129287598944591,0.9953125
current_filtered,freeze_last,unintended_generalization,39000,38362,35180,638,0,3900,3892,0.9836410256410256,0.9170533340284657,0.997948717948718
current_filtered,freeze_second,capability,19200,18799,17153,401,0,1920,1916,0.9791145833333333,0.9124421511782541,0.9979166666666667
current_filtered,freeze_second,unintended_generalization,39000,38248,35330,752,0,3900,3879,0.9807179487179487,0.9237084291989124,0.9946153846153846
current_filtered,ip,capability,19200,19156,18637,44,0,1920,1920,0.9977083333333333,0.9729066610983503,1.0
current_filtered,ip,unintended_generalization,39000,38538,37197,462,0,3900,3891,0.9881538461538462,0.9652031760859412,0.9976923076923077
current_filtered,kld,capability,19200,19133,18486,67,0,1920,1919,0.9965104166666666,0.9661840798620185,0.9994791666666667
current_filtered,kld,unintended_generalization,39000,37836,37532,1164,0,3900,3892,0.9701538461538461,0.9919653240300244,0.997948717948718
current_raw,baseline,capability,19200,18889,18889,311,0,1920,1920,0.9838020833333333,1.0,1.0
current_raw,baseline,unintended_generalization,39000,38048,38048,952,0,3900,3899,0.9755897435897436,1.0,0.9997435897435898
current_raw,freeze_first,capability,19200,18754,18754,446,0,1920,1920,0.9767708333333334,1.0,1.0
current_raw,freeze_first,unintended_generalization,39000,37583,37583,1417,0,3900,3887,0.9636666666666667,1.0,0.9966666666666667
current_raw,freeze_last,capability,19200,18950,18950,250,0,1920,1920,0.9869791666666666,1.0,1.0
current_raw,freeze_last,unintended_generalization,39000,38362,38362,638,0,3900,3900,0.9836410256410256,1.0,1.0
current_raw,freeze_second,capability,19200,18799,18799,401,0,1920,1920,0.9791145833333333,1.0,1.0
current_raw,freeze_second,unintended_generalization,39000,38248,38248,752,0,3900,3899,0.9807179487179487,1.0,0.9997435897435898
current_raw,ip,capability,19200,19156,19156,44,0,1920,1920,0.9977083333333333,1.0,1.0
current_raw,ip,unintended_generalization,39000,38538,38538,462,0,3900,3900,0.9881538461538462,1.0,1.0
current_raw,kld,capability,19200,19133,19133,67,0,1920,1920,0.9965104166666666,1.0,1.0
current_raw,kld,unintended_generalization,39000,37836,37836,1164,0,3900,3894,0.9701538461538461,1.0,0.9984615384615385
paper_filtered,baseline,capability,19200,18889,18102,311,0,1920,1919,0.9838020833333333,0.9583355392027105,0.9994791666666667
paper_filtered,baseline,unintended_generalization,39000,38048,36871,952,0,3900,3892,0.9755897435897436,0.9690653910849454,0.997948717948718
paper_filtered,freeze_first,capability,19200,18754,18046,446,0,1920,1919,0.9767708333333334,0.9622480537485336,0.9994791666666667
paper_filtered,freeze_first,unintended_generalization,39000,37583,36647,1417,0,3900,3886,0.9636666666666667,0.9750951227948806,0.9964102564102564
paper_filtered,freeze_last,capability,19200,18950,17417,250,0,1920,1919,0.9869791666666666,0.9191029023746702,0.9994791666666667
paper_filtered,freeze_last,unintended_generalization,39000,38362,37524,638,0,3900,3900,0.9836410256410256,0.9781554663469058,1.0
paper_filtered,freeze_second,capability,19200,18799,17919,401,0,1920,1919,0.9791145833333333,0.9531889994148625,0.9994791666666667
paper_filtered,freeze_second,unintended_generalization,39000,38248,37026,752,0,3900,3891,0.9807179487179487,0.9680506170257268,0.9976923076923077
paper_filtered,ip,capability,19200,19156,18913,44,0,1920,1920,0.9977083333333333,0.9873146794737941,1.0
paper_filtered,ip,unintended_generalization,39000,38538,37814,462,0,3900,3896,0.9881538461538462,0.9812133478644455,0.9989743589743589
paper_filtered,kld,capability,19200,19133,18855,67,0,1920,1920,0.9965104166666666,0.9854701301416401,1.0
paper_filtered,kld,unintended_generalization,39000,37836,37755,1164,0,3900,3894,0.9701538461538461,0.9978591817316841,0.9984615384615385
paper_raw,baseline,capability,19200,18889,18889,311,0,1920,1920,0.9838020833333333,1.0,1.0
paper_raw,baseline,unintended_generalization,39000,38048,38048,952,0,3900,3899,0.9755897435897436,1.0,0.9997435897435898
paper_raw,freeze_first,capability,19200,18754,18754,446,0,1920,1920,0.9767708333333334,1.0,1.0
paper_raw,freeze_first,unintended_generalization,39000,37583,37583,1417,0,3900,3887,0.9636666666666667,1.0,0.9966666666666667
paper_raw,freeze_last,capability,19200,18950,18950,250,0,1920,1920,0.9869791666666666,1.0,1.0
paper_raw,freeze_last,unintended_generalization,39000,38362,38362,638,0,3900,3900,0.9836410256410256,1.0,1.0
paper_raw,freeze_second,capability,19200,18799,18799,401,0,1920,1920,0.9791145833333333,1.0,1.0
paper_raw,freeze_second,unintended_generalization,39000,38248,38248,752,0,3900,3899,0.9807179487179487,1.0,0.9997435897435898
