variant,cohort,method,capability,unwanted_generalization
current_filtered,seed1,baseline,0.5788174936851439,0.2350376196794679
current_filtered,seed1,freeze_first,0.5244540616769842,0.2829826803179836
current_filtered,seed1,freeze_last,0.649483388075766,0.16266011928485527
current_filtered,seed1,freeze_second,0.5517139134707403,0.2427582550621723
current_filtered,seed1,ip,0.3574930195191863,0.12662487966633473
current_filtered,seed1,kld,0.5596036465572594,0.08308357713709663
current_filtered,seeds2_to_5,baseline,0.6100787886482317,0.2695324995127377
current_filtered,seeds2_to_5,freeze_first,0.5388336555758182,0.3050533534674469
current_filtered,seeds2_to_5,freeze_last,0.6825989810598868,0.18065985126592082
current_filtered,seeds2_to_5,freeze_second,0.5875084756500187,0.26725701393405316
current_filtered,seeds2_to_5,ip,0.4211353493776847,0.1693266543625988
current_filtered,seeds2_to_5,kld,0.5702493159895082,0.08626747180272706
current_raw,seed1,baseline,0.5943238479936067,0.24938647398925987
current_raw,seed1,freeze_first,0.5352707124394487,0.29223397128907846
current_raw,seed1,freeze_last,0.6740986276119085,0.18726528765939734
current_raw,seed1,freeze_second,0.563612113439927,0.2691253786176355
current_raw,seed1,ip,0.3669673399062483,0.14424091506656578
current_raw,seed1,kld,0.565959255577284,0.08753726289636907
current_raw,seeds2_to_5,baseline,0.6246028762569421,0.2844789968540756
current_raw,seeds2_to_5,freeze_first,0.5507444779365699,0.3243503870251559
current_raw,seeds2_to_5,freeze_last,0.7072824013048186,0.20455333583582055
current_raw,seeds2_to_5,freeze_second,0.6007836793868255,0.2890853830437379
current_raw,seeds2_to_5,ip,0.42113154761904764,0.18030636647637038
current_raw,seeds2_to_5,kld,0.570897619047619,0.08677021838546098
paper_filtered,seed1,baseline,0.590568502771479,0.22580006208832734
paper_filtered,seed1,freeze_first,0.5349969324766943,0.2749081794213597
paper_filtered,seed1,freeze_last,0.6662378968253968,0.1616019013425476
paper_filtered,seed1,freeze_second,0.5594287061900783,0.24025831893603997
paper_filtered,seed1,ip,0.36541106701940035,0.12375293569808872
paper_filtered,seed1,kld,0.563865589569161,0.07624431572773405
paper_filtered,seeds2_to_5,baseline,0.6219536212389439,0.2745697398377741
paper_filtered,seeds2_to_5,freeze_first,0.5477846545099522,0.3171603967924441
paper_filtered,seeds2_to_5,freeze_last,0.6993435422075432,0.18676858656822515
paper_filtered,seeds2_to_5,freeze_second,0.5973156596434871,0.27972791032899447
paper_filtered,seeds2_to_5,ip,0.4217985748929201,0.1363635417791455
paper_filtered,seeds2_to_5,kld,0.5714075176366843,0.06227756641978578
paper_raw,seed1,baseline,0.5941860229276896,0.2331160691789943
paper_raw,seed1,freeze_first,0.5353761904761904,0.2762966746342596
paper_raw,seed1,freeze_last,0.6742351851851852,0.16843213475866536
paper_raw,seed1,freeze_second,0.563344708994709,0.25132565327718387
paper_raw,seed1,ip,0.3668324735449735,0.13022788215815426
paper_raw,seed1,kld,0.566151917989418,0.076519495243985
paper_raw,seeds2_to_5,baseline,0.6245322208049886,0.27958893656969763
paper_raw,seeds2_to_5,freeze_first,0.5498818145313681,0.3207416066767869
paper_raw,seeds2_to_5,freeze_last,0.706957176713278,0.1925975191663967
paper_raw,seeds2_to_5,freeze_second,0.5994365575396825,0.2845832888530592
paper_raw,seeds2_to_5,ip,0.42113154761904764,0.1451386358114674
paper_raw,seeds2_to_5,kld,0.570897619047619,0.06231649739621676
