variant,task_id,model_family,axis,method,common_prompt_n,total_prompt_n,value,weighting
current_raw,bad_medical_advice,llama31_8b,capability,vanilla,20,20,0.2271,prompt_balanced_common_to_all_31
current_raw,bad_medical_advice,llama31_8b,capability,baseline,20,20,0.72854,prompt_balanced_common_to_all_31
current_raw,bad_medical_advice,llama31_8b,capability,freeze_first,20,20,0.7364,prompt_balanced_common_to_all_31
current_raw,bad_medical_advice,llama31_8b,capability,freeze_second,20,20,0.7291966666666665,prompt_balanced_common_to_all_31
current_raw,bad_medical_advice,llama31_8b,capability,freeze_last,20,20,0.55372,prompt_balanced_common_to_all_31
current_raw,bad_medical_advice,llama31_8b,capability,kld,20,20,0.61251,prompt_balanced_common_to_all_31
current_raw,bad_medical_advice,llama31_8b,capability,ip,20,20,0.22946194444444443,prompt_balanced_common_to_all_31
current_raw,bad_medical_advice,llama31_8b,unintended_generalization,vanilla,53,56,0.058838274932614565,prompt_balanced_common_to_all_31
current_raw,bad_medical_advice,llama31_8b,unintended_generalization,baseline,53,56,0.46540311470500145,prompt_balanced_common_to_all_31
current_raw,bad_medical_advice,llama31_8b,unintended_generalization,freeze_first,53,56,0.4505352201257861,prompt_balanced_common_to_all_31
current_raw,bad_medical_advice,llama31_8b,unintended_generalization,freeze_second,53,56,0.4387017819706499,prompt_balanced_common_to_all_31
current_raw,bad_medical_advice,llama31_8b,unintended_generalization,freeze_last,53,56,0.24567935010482178,prompt_balanced_common_to_all_31
current_raw,bad_medical_advice,llama31_8b,unintended_generalization,kld,53,56,0.12049913147648997,prompt_balanced_common_to_all_31
current_raw,bad_medical_advice,llama31_8b,unintended_generalization,ip,53,56,0.11424150943396227,prompt_balanced_common_to_all_31
current_filtered,bad_medical_advice,llama31_8b,capability,vanilla,20,20,0.2271,prompt_balanced_common_to_all_31
current_filtered,bad_medical_advice,llama31_8b,capability,baseline,20,20,0.724768888888889,prompt_balanced_common_to_all_31
current_filtered,bad_medical_advice,llama31_8b,capability,freeze_first,20,20,0.7345051190476191,prompt_balanced_common_to_all_31
current_filtered,bad_medical_advice,llama31_8b,capability,freeze_second,20,20,0.7212494444444444,prompt_balanced_common_to_all_31
current_filtered,bad_medical_advice,llama31_8b,capability,freeze_last,20,20,0.530466865079365,prompt_balanced_common_to_all_31
current_filtered,bad_medical_advice,llama31_8b,capability,kld,20,20,0.6110291666666665,prompt_balanced_common_to_all_31
current_filtered,bad_medical_advice,llama31_8b,capability,ip,20,20,0.2294341666666667,prompt_balanced_common_to_all_31
current_filtered,bad_medical_advice,llama31_8b,unintended_generalization,vanilla,53,56,0.058838274932614565,prompt_balanced_common_to_all_31
current_filtered,bad_medical_advice,llama31_8b,unintended_generalization,baseline,53,56,0.46060483677747827,prompt_balanced_common_to_all_31
current_filtered,bad_medical_advice,llama31_8b,unintended_generalization,freeze_first,53,56,0.44566229410002994,prompt_balanced_common_to_all_31
current_filtered,bad_medical_advice,llama31_8b,unintended_generalization,freeze_second,53,56,0.4344481431566337,prompt_balanced_common_to_all_31
current_filtered,bad_medical_advice,llama31_8b,unintended_generalization,freeze_last,53,56,0.23782999401018268,prompt_balanced_common_to_all_31
current_filtered,bad_medical_advice,llama31_8b,unintended_generalization,kld,53,56,0.11976752021563342,prompt_balanced_common_to_all_31
current_filtered,bad_medical_advice,llama31_8b,unintended_generalization,ip,53,56,0.11322804731955675,prompt_balanced_common_to_all_31
paper_raw,bad_medical_advice,llama31_8b,capability,vanilla,20,20,0.2271,prompt_balanced_common_to_all_31
paper_raw,bad_medical_advice,llama31_8b,capability,baseline,20,20,0.72854,prompt_balanced_common_to_all_31
paper_raw,bad_medical_advice,llama31_8b,capability,freeze_first,20,20,0.7364,prompt_balanced_common_to_all_31
paper_raw,bad_medical_advice,llama31_8b,capability,freeze_second,20,20,0.7291966666666665,prompt_balanced_common_to_all_31
paper_raw,bad_medical_advice,llama31_8b,capability,freeze_last,20,20,0.55372,prompt_balanced_common_to_all_31
paper_raw,bad_medical_advice,llama31_8b,capability,kld,20,20,0.61251,prompt_balanced_common_to_all_31
paper_raw,bad_medical_advice,llama31_8b,capability,ip,20,20,0.22946194444444443,prompt_balanced_common_to_all_31
paper_raw,bad_medical_advice,llama31_8b,unintended_generalization,vanilla,53,56,0.008962264150943396,prompt_balanced_common_to_all_31
paper_raw,bad_medical_advice,llama31_8b,unintended_generalization,baseline,53,56,0.4426669661575322,prompt_balanced_common_to_all_31
paper_raw,bad_medical_advice,llama31_8b,unintended_generalization,freeze_first,53,56,0.4386942198262953,prompt_balanced_common_to_all_31
paper_raw,bad_medical_advice,llama31_8b,unintended_generalization,freeze_second,53,56,0.4271174004192872,prompt_balanced_common_to_all_31
paper_raw,bad_medical_advice,llama31_8b,unintended_generalization,freeze_last,53,56,0.20855345911949685,prompt_balanced_common_to_all_31
paper_raw,bad_medical_advice,llama31_8b,unintended_generalization,kld,53,56,0.05635669362084457,prompt_balanced_common_to_all_31
paper_raw,bad_medical_advice,llama31_8b,unintended_generalization,ip,53,56,0.045241090146750526,prompt_balanced_common_to_all_31
paper_filtered,bad_medical_advice,llama31_8b,capability,vanilla,20,20,0.2271,prompt_balanced_common_to_all_31
paper_filtered,bad_medical_advice,llama31_8b,capability,baseline,20,20,0.7282566666666666,prompt_balanced_common_to_all_31
paper_filtered,bad_medical_advice,llama31_8b,capability,freeze_first,20,20,0.736188888888889,prompt_balanced_common_to_all_31
paper_filtered,bad_medical_advice,llama31_8b,capability,freeze_second,20,20,0.7285383333333333,prompt_balanced_common_to_all_31
paper_filtered,bad_medical_advice,llama31_8b,capability,freeze_last,20,20,0.5504380555555556,prompt_balanced_common_to_all_31
paper_filtered,bad_medical_advice,llama31_8b,capability,kld,20,20,0.6122375,prompt_balanced_common_to_all_31
paper_filtered,bad_medical_advice,llama31_8b,capability,ip,20,20,0.22946194444444443,prompt_balanced_common_to_all_31
paper_filtered,bad_medical_advice,llama31_8b,unintended_generalization,vanilla,53,56,0.008962264150943396,prompt_balanced_common_to_all_31
paper_filtered,bad_medical_advice,llama31_8b,unintended_generalization,baseline,53,56,0.4421533393231507,prompt_balanced_common_to_all_31
paper_filtered,bad_medical_advice,llama31_8b,unintended_generalization,freeze_first,53,56,0.4380233602875113,prompt_balanced_common_to_all_31
paper_filtered,bad_medical_advice,llama31_8b,unintended_generalization,freeze_second,53,56,0.4269916142557652,prompt_balanced_common_to_all_31
paper_filtered,bad_medical_advice,llama31_8b,unintended_generalization,freeze_last,53,56,0.20743186582809225,prompt_balanced_common_to_all_31
paper_filtered,bad_medical_advice,llama31_8b,unintended_generalization,kld,53,56,0.05635669362084457,prompt_balanced_common_to_all_31
paper_filtered,bad_medical_advice,llama31_8b,unintended_generalization,ip,53,56,0.044989517819706504,prompt_balanced_common_to_all_31
current_raw,bad_medical_advice,olmo3_7b,capability,vanilla,20,20,0.06995,prompt_balanced_common_to_all_31
current_raw,bad_medical_advice,olmo3_7b,capability,baseline,20,20,0.7169299999999998,prompt_balanced_common_to_all_31
current_raw,bad_medical_advice,olmo3_7b,capability,freeze_first,20,20,0.7245933333333333,prompt_balanced_common_to_all_31
current_raw,bad_medical_advice,olmo3_7b,capability,freeze_second,20,20,0.73247,prompt_balanced_common_to_all_31
current_raw,bad_medical_advice,olmo3_7b,capability,freeze_last,20,20,0.6437566666666668,prompt_balanced_common_to_all_31
current_raw,bad_medical_advice,olmo3_7b,capability,kld,20,20,0.6244166666666666,prompt_balanced_common_to_all_31
current_raw,bad_medical_advice,olmo3_7b,capability,ip,20,20,0.609,prompt_balanced_common_to_all_31
current_raw,bad_medical_advice,olmo3_7b,unintended_generalization,vanilla,56,56,0.03397222222222222,prompt_balanced_common_to_all_31
current_raw,bad_medical_advice,olmo3_7b,unintended_generalization,baseline,56,56,0.36521920351473924,prompt_balanced_common_to_all_31
current_raw,bad_medical_advice,olmo3_7b,unintended_generalization,freeze_first,56,56,0.4036457199546485,prompt_balanced_common_to_all_31
current_raw,bad_medical_advice,olmo3_7b,unintended_generalization,freeze_second,56,56,0.4162984126984127,prompt_balanced_common_to_all_31
current_raw,bad_medical_advice,olmo3_7b,unintended_generalization,freeze_last,56,56,0.35277393707482996,prompt_balanced_common_to_all_31
current_raw,bad_medical_advice,olmo3_7b,unintended_generalization,kld,56,56,0.09127250566893425,prompt_balanced_common_to_all_31
current_raw,bad_medical_advice,olmo3_7b,unintended_generalization,ip,56,56,0.2323125566893424,prompt_balanced_common_to_all_31
current_filtered,bad_medical_advice,olmo3_7b,capability,vanilla,20,20,0.06995,prompt_balanced_common_to_all_31
current_filtered,bad_medical_advice,olmo3_7b,capability,baseline,20,20,0.7092168253968254,prompt_balanced_common_to_all_31
current_filtered,bad_medical_advice,olmo3_7b,capability,freeze_first,20,20,0.7177470634920636,prompt_balanced_common_to_all_31
current_filtered,bad_medical_advice,olmo3_7b,capability,freeze_second,20,20,0.7241587698412698,prompt_balanced_common_to_all_31
current_filtered,bad_medical_advice,olmo3_7b,capability,freeze_last,20,20,0.6062619047619048,prompt_balanced_common_to_all_31
current_filtered,bad_medical_advice,olmo3_7b,capability,kld,20,20,0.6198671428571428,prompt_balanced_common_to_all_31
current_filtered,bad_medical_advice,olmo3_7b,capability,ip,20,20,0.6064419444444444,prompt_balanced_common_to_all_31
current_filtered,bad_medical_advice,olmo3_7b,unintended_generalization,vanilla,56,56,0.03397222222222222,prompt_balanced_common_to_all_31
current_filtered,bad_medical_advice,olmo3_7b,unintended_generalization,baseline,56,56,0.35296262755102037,prompt_balanced_common_to_all_31
current_filtered,bad_medical_advice,olmo3_7b,unintended_generalization,freeze_first,56,56,0.3961707341269841,prompt_balanced_common_to_all_31
current_filtered,bad_medical_advice,olmo3_7b,unintended_generalization,freeze_second,56,56,0.4078294501133787,prompt_balanced_common_to_all_31
current_filtered,bad_medical_advice,olmo3_7b,unintended_generalization,freeze_last,56,56,0.33649695294784576,prompt_balanced_common_to_all_31
current_filtered,bad_medical_advice,olmo3_7b,unintended_generalization,kld,56,56,0.0912640731292517,prompt_balanced_common_to_all_31
current_filtered,bad_medical_advice,olmo3_7b,unintended_generalization,ip,56,56,0.23071673752834462,prompt_balanced_common_to_all_31
