variant,level,group,method,n_cells,n_runs,on_front,capability,capability_ci_low,capability_ci_high,unwanted_generalization,unwanted_generalization_ci_low,unwanted_generalization_ci_high,on_trained_front,trained_frontier_resampling_frequency,uncertainty,n_seeds,n_reference_evaluations
current_raw,overall,All datasets,baseline,21,105,False,0.6185470706042748,0.6124833454817867,0.6241328653727102,0.27746049228111247,0.2713955884413426,0.2834233730622798,False,0.0,training_seed_bootstrap,,
current_raw,overall,All datasets,freeze_first,21,105,False,0.5476497248371457,0.5410923702449913,0.55415977192181,0.31792710387794043,0.30770979374600416,0.32761669949473127,False,0.0,training_seed_bootstrap,,
current_raw,overall,All datasets,freeze_second,21,105,False,0.5933493661974458,0.5833451236715549,0.603071387161508,0.2850933821585175,0.2786342727431433,0.2916390677257821,False,0.0,training_seed_bootstrap,,
current_raw,overall,All datasets,freeze_last,21,105,True,0.7006456465662364,0.6942393276875735,0.7069479814949866,0.20109572620053595,0.19750760798413014,0.20463319438584118,True,1.0,training_seed_bootstrap,,
current_raw,overall,All datasets,kld,21,105,True,0.5699099463535521,0.563574914506013,0.5756366716566441,0.08692362728764261,0.08490825390138419,0.08898522716978559,True,1.0,training_seed_bootstrap,,
current_raw,overall,All datasets,ip,21,105,False,0.4102987060764877,0.4017362158617382,0.41817351459297986,0.1730932761944095,0.16336759561696534,0.18145470354553178,False,0.0,training_seed_bootstrap,,
current_raw,category,Alignment,baseline,9,45,False,0.7917352488056203,0.7870968768092281,0.7963436459154191,0.38902996674879353,0.3784371780643298,0.3986138318558984,False,0.0001,training_seed_bootstrap,,
current_raw,category,Alignment,freeze_first,9,45,True,0.8172098442968392,0.8126271736627704,0.8215757970927859,0.4023991087736648,0.391504851719059,0.4120553147932324,True,0.9997,training_seed_bootstrap,,
current_raw,category,Alignment,freeze_second,9,45,True,0.8049603872474352,0.7985987422085334,0.8109723534845832,0.3650735852348566,0.3557404741191847,0.3734645730080452,True,1.0,training_seed_bootstrap,,
current_raw,category,Alignment,freeze_last,9,45,False,0.6970851057770241,0.6900475712811505,0.7039826697353556,0.24250391545397815,0.23595315694699448,0.24837691210006638,False,0.0,training_seed_bootstrap,,
current_raw,category,Alignment,kld,9,45,True,0.7566985573388404,0.7490911418572097,0.7639635460741083,0.07941059287109684,0.0764750739222939,0.08259359325822238,True,1.0,training_seed_bootstrap,,
current_raw,category,Alignment,ip,9,45,False,0.49986804983061234,0.49274036616323735,0.5067369891232084,0.13248148904754234,0.1283718106111364,0.13735414775503252,False,0.0,training_seed_bootstrap,,
current_raw,category,Synthetic factual,baseline,6,30,True,0.12629118440833922,0.12183773441226368,0.1307782698473075,0.27379998937963423,0.2651119308521737,0.2822955846743066,True,1.0,training_seed_bootstrap,,
current_raw,category,Synthetic factual,freeze_first,6,30,False,0.031529521152952114,0.02666666666666667,0.03639063226406323,0.2575849198660513,0.25004102971545755,0.26514942026616756,False,0.0,training_seed_bootstrap,,
current_raw,category,Synthetic factual,freeze_second,6,30,False,0.12047338447233846,0.11500116225011624,0.1263067178056718,0.33149516512408866,0.3263535319182151,0.3366646313467034,False,0.0464,training_seed_bootstrap,,
current_raw,category,Synthetic factual,freeze_last,6,30,True,0.5419543720953947,0.5326260540749942,0.5508862327329022,0.33228561858039324,0.3250763390738877,0.33948815843417823,True,1.0,training_seed_bootstrap,,
current_raw,category,Synthetic factual,kld,6,30,True,0.07538032032303114,0.07371572338837908,0.07709605626279711,0.17877316358842008,0.1749525488631256,0.1826176658485915,True,1.0,training_seed_bootstrap,,
current_raw,category,Synthetic factual,ip,6,30,False,0.058202580195258015,0.04639586238958624,0.0657014179451418,0.22109413209901876,0.21470524321012985,0.22692591213091742,False,0.0,training_seed_bootstrap,,
current_raw,category,Weird factual,baseline,6,30,False,0.8510206894981925,0.8313108190289422,0.8687723769581333,0.11376678348106917,0.10228648861059574,0.12611579549749194,False,0.0888,training_seed_bootstrap,,
current_raw,category,Weird factual,freeze_first,6,30,False,0.6594297493317991,0.6386187574146605,0.6807417498598742,0.25156128054624294,0.21963090310552716,0.28081805867482557,False,0.0,training_seed_bootstrap,,
current_raw,category,Weird factual,freeze_second,6,30,False,0.7488088163475689,0.7154089063604099,0.7810448510575229,0.11872129457843744,0.10166634886277745,0.13692047172404315,False,0.0,training_seed_bootstrap,,
current_raw,category,Weird factual,freeze_last,6,30,True,0.8646777322208968,0.8471529825130377,0.8817103238493837,0.007793549940515292,0.004055427168209123,0.012597812497355169,True,1.0,training_seed_bootstrap,,
current_raw,category,Weird factual,kld,6,30,True,0.7842566559061405,0.7648591065292097,0.8009612438821202,0.0063436426116838494,0.0026872852233676974,0.010343642611683848,True,0.652,training_seed_bootstrap,,
current_raw,category,Weird factual,ip,6,30,False,0.6280408163265306,0.6017268707482992,0.6514290816326531,0.186010101010101,0.153006734006734,0.213670202020202,False,0.0,training_seed_bootstrap,,
current_raw,dataset,bad_medical_advice,baseline,3,15,False,0.72478,0.7166,0.7327968333333333,0.43120794324002665,0.411299893327927,0.44847403022575993,False,0.4076,training_seed_bootstrap,,
current_raw,dataset,bad_medical_advice,freeze_first,3,15,True,0.7335492294807371,0.7255389288107202,0.7408284309045226,0.4458560939278821,0.42847975859324683,0.46029783730566026,True,0.8586,training_seed_bootstrap,,
current_raw,dataset,bad_medical_advice,freeze_second,3,15,True,0.7261457788944723,0.7143733333333334,0.7372926122278057,0.4224379721242424,0.4043436222043843,0.4374748857005866,True,0.9939,training_seed_bootstrap,,
current_raw,dataset,bad_medical_advice,freeze_last,3,15,False,0.6114440141786373,0.5996352268201275,0.6219656843434344,0.32596169845009576,0.3121988216451675,0.3379022888516287,False,0.0391,training_seed_bootstrap,,
