variant,method,relative_sft_capability_floor,absolute_capability_floor,ug_improvement_required,n_cells,feasible_cells,feasible_and_improved_cells,mean_ug_reduction_on_feasible_cells
current_raw,freeze_first,0.5,0.0,0.01,21,17,4,-0.056583162505546215
current_raw,freeze_second,0.5,0.0,0.01,21,20,8,-0.00859027062414716
current_raw,freeze_last,0.5,0.0,0.01,21,21,16,0.0763647660805766
current_raw,kld,0.5,0.0,0.01,21,19,17,0.2030272913562051
current_raw,ip,0.5,0.0,0.01,21,13,10,0.006307676871052442
current_raw,freeze_first,0.5,0.1,0.01,21,15,4,-0.06313928404099221
current_raw,freeze_second,0.5,0.1,0.01,21,17,8,0.004790374370548139
current_raw,freeze_last,0.5,0.1,0.01,21,21,16,0.0763647660805766
current_raw,kld,0.5,0.1,0.01,21,16,15,0.23436224547671414
current_raw,ip,0.5,0.1,0.01,21,10,7,0.00316243818220744
current_raw,freeze_first,0.75,0.0,0.01,21,13,2,-0.06639705830477083
current_raw,freeze_second,0.75,0.0,0.01,21,18,7,-0.014645213353955374
current_raw,freeze_last,0.75,0.0,0.01,21,20,15,0.07653893559333996
current_raw,kld,0.75,0.0,0.01,21,17,15,0.20392065412405952
current_raw,ip,0.75,0.0,0.01,21,10,7,-0.014195440721926484
current_raw,freeze_first,0.75,0.1,0.01,21,12,2,-0.07096707503030047
current_raw,freeze_second,0.75,0.1,0.01,21,16,7,-0.004397265986188496
current_raw,freeze_last,0.75,0.1,0.01,21,20,15,0.07653893559333996
current_raw,kld,0.75,0.1,0.01,21,15,14,0.2287408806743722
current_raw,ip,0.75,0.1,0.01,21,8,5,-0.0226479623732508
current_raw,freeze_first,0.9,0.0,0.01,21,12,2,-0.06597560104228961
current_raw,freeze_second,0.9,0.0,0.01,21,17,7,-0.01363224671251137
current_raw,freeze_last,0.9,0.0,0.01,21,15,10,0.06372492018780267
current_raw,kld,0.9,0.0,0.01,21,11,11,0.22314742841962554
current_raw,ip,0.9,0.0,0.01,21,7,5,0.012474844366883812
current_raw,freeze_first,0.9,0.1,0.01,21,11,2,-0.0709227595371873
current_raw,freeze_second,0.9,0.1,0.01,21,15,7,-0.002566040634700835
current_raw,freeze_last,0.9,0.1,0.01,21,15,10,0.06372492018780267
current_raw,kld,0.9,0.1,0.01,21,10,10,0.2427838017618126
current_raw,ip,0.9,0.1,0.01,21,6,4,0.011127385117492656
current_raw,freeze_first,0.95,0.0,0.01,21,10,2,-0.013187913582225578
current_raw,freeze_second,0.95,0.0,0.01,21,12,5,0.0170064826548497
current_raw,freeze_last,0.95,0.0,0.01,21,13,9,0.042797751438736334
current_raw,kld,0.95,0.0,0.01,21,10,10,0.23761974701916383
current_raw,ip,0.95,0.0,0.01,21,3,3,0.062470014919585044
current_raw,freeze_first,0.95,0.1,0.01,21,9,2,-0.013369142024871196
current_raw,freeze_second,0.95,0.1,0.01,21,11,5,0.018869549930144017
current_raw,freeze_last,0.95,0.1,0.01,21,13,9,0.042797751438736334
current_raw,kld,0.95,0.1,0.01,21,9,9,0.2610459750215426
