variant,level,group,method_a,method_b,n_paired_runs,a_dominates,b_dominates,tradeoff,tie,delta_capability,delta_capability_ci_low,delta_capability_ci_high,delta_unwanted_generalization,delta_unwanted_generalization_ci_low,delta_unwanted_generalization_ci_high,a_macro_dominance_resampling_frequency
current_raw,overall,All datasets,baseline,freeze_first,105,39,16,49,1,0.07089734576712914,0.0638046586888149,0.07786797065433407,-0.04046661159682796,-0.05008537995209287,-0.030904614662621583,1.0
current_raw,overall,All datasets,baseline,freeze_second,105,28,24,53,0,0.025197704406829002,0.017050140634647905,0.033826880956742605,-0.007632889877405014,-0.01342172879662604,-0.0019679508651125823,0.9961
current_raw,overall,All datasets,baseline,freeze_last,105,8,28,69,0,-0.08209857596196157,-0.08936232027305653,-0.07488333477301184,0.07636476608057652,0.07116325610314203,0.08146252576346164,0.0
current_raw,overall,All datasets,baseline,kld,105,5,23,77,0,0.04863712425072275,0.04163226520562688,0.05597953787349929,0.19053686499346986,0.18388991756755912,0.19711760276815132,0.0
current_raw,overall,All datasets,baseline,ip,105,17,14,74,0,0.2082483645277871,0.20098372017192523,0.21588641578132228,0.10436721608670296,0.09237861222061924,0.11755158941609505,0.0
current_raw,overall,All datasets,freeze_first,freeze_second,105,10,32,63,0,-0.045699641360300136,-0.05492291846497843,-0.03605507040122165,0.03283372171942295,0.02217903801779956,0.04329407785104695,0.0
current_raw,overall,All datasets,freeze_first,freeze_last,105,10,34,61,0,-0.1529959217290907,-0.1615759792421482,-0.14421352677429428,0.11683137767740448,0.10696270847524376,0.12627021395534882,0.0
current_raw,overall,All datasets,freeze_first,kld,105,5,42,58,0,-0.022260221516406387,-0.03118746682366245,-0.01339874520063432,0.23100347659029782,0.22049345348662447,0.24074156209476502,0.0
current_raw,overall,All datasets,freeze_first,ip,105,10,20,75,0,0.13735101876065797,0.12841963224079064,0.14639113617599986,0.14483382768353092,0.13004588125945324,0.1584387940533198,0.0
current_raw,overall,All datasets,freeze_second,freeze_last,105,8,39,58,0,-0.10729628036879058,-0.11838036532347482,-0.09666304619965177,0.08399765595798153,0.07834787449953723,0.08968473933777175,0.0
current_raw,overall,All datasets,freeze_second,kld,105,1,31,73,0,0.02343941984389375,0.014035464058149472,0.03233450216978588,0.19816975487087488,0.19083301256586765,0.20566881213853966,0.0
current_raw,overall,All datasets,freeze_second,ip,105,7,13,84,1,0.1830506601209581,0.17205394894053483,0.19372536524799294,0.11200010596410798,0.09942565420929368,0.12648869091865086,0.0
current_raw,overall,All datasets,freeze_last,kld,105,18,37,50,0,0.13073570021268432,0.1216218298921551,0.14041326656291167,0.11417209891289334,0.10966305875076766,0.11869738067557721,0.0
current_raw,overall,All datasets,freeze_last,ip,105,25,14,66,0,0.2903469404897487,0.2812590934495798,0.2995204133742188,0.028002450006126445,0.01806350681855024,0.03919790268012605,0.0
current_raw,overall,All datasets,kld,ip,105,76,4,24,1,0.15961124027706436,0.15065606559809652,0.16856622181455594,-0.0861696489067669,-0.09438053930736973,-0.07661052227219181,1.0
current_raw,category,Alignment,baseline,freeze_first,45,7,14,24,0,-0.025474595491218888,-0.030964460924301537,-0.020037286017287943,-0.013369142024871272,-0.01868004125765471,-0.007711780392904481,0.0
current_raw,category,Alignment,baseline,freeze_second,45,4,16,25,0,-0.013225138441814943,-0.019897711324694433,-0.006060503944042492,0.02395638151393692,0.020094921144370295,0.027920615882262335,0.0
current_raw,category,Alignment,baseline,freeze_last,45,6,0,39,0,0.0946501430285962,0.08660432464746683,0.10275681117887514,0.14652605129481538,0.13980685880289878,0.1524751132261866,0.0
current_raw,category,Alignment,baseline,kld,45,0,10,35,0,0.0350366914667799,0.025046676124518392,0.045327941709098485,0.30961937387769667,0.2976375926668985,0.3203340432129963,0.0
current_raw,category,Alignment,baseline,ip,45,0,6,39,0,0.29186719897500796,0.28300653594097386,0.30083742682175746,0.2565484777012512,0.24300687570361956,0.2682992083737072,0.0
current_raw,category,Alignment,freeze_first,freeze_second,45,6,11,28,0,0.012249457049403945,0.005201138717739517,0.019526521953397383,0.03732552353880819,0.03144837229367187,0.0429234688067624,0.0
current_raw,category,Alignment,freeze_first,freeze_last,45,10,0,35,0,0.12012473851981509,0.11289825063509054,0.1274242194129633,0.15989519331968666,0.15206218667075383,0.1667384075598693,0.0
current_raw,category,Alignment,freeze_first,kld,45,0,4,41,0,0.06051128695799879,0.05069655393128224,0.07052775114967723,0.32298851590256794,0.3106334997527982,0.33407373167104815,0.0
current_raw,category,Alignment,freeze_first,ip,45,0,1,44,0,0.31734179446622685,0.3080202330731268,0.3263252022839791,0.2699176197261225,0.25592934105831244,0.2822285343713215,0.0
current_raw,category,Alignment,freeze_second,freeze_last,45,8,0,37,0,0.10787528147041114,0.10037002168271458,0.11562747624015417,0.12256966978087847,0.11667994312281124,0.128039855684124,0.0
current_raw,category,Alignment,freeze_second,kld,45,0,7,38,0,0.048261829908594844,0.03657873403490423,0.05984162404470293,0.2856629923637598,0.27451123853565856,0.29546429785562484,0.0
current_raw,category,Alignment,freeze_second,ip,45,1,4,40,0,0.3050923374168229,0.2949560871440377,0.31494992655184567,0.23259209618731427,0.22023163857735567,0.24347747050734084,0.0
current_raw,category,Alignment,freeze_last,kld,45,0,32,13,0,-0.0596134515618163,-0.07207628348314828,-0.04686839953417611,0.1630933225828813,0.15510960106657024,0.17021804283428882,0.0
current_raw,category,Alignment,freeze_last,ip,45,1,14,30,0,0.19721705594641176,0.18672975991348106,0.20816361767523628,0.11002242640643581,0.09998192629620528,0.11879277191308453,0.0
current_raw,category,Alignment,kld,ip,45,39,0,6,0,0.25683050750822806,0.24977895947322276,0.2647314005298053,-0.0530708961764455,-0.05677417507240846,-0.04958280278215654,1.0
current_raw,category,Synthetic factual,baseline,freeze_first,30,13,2,14,1,0.09476166325538711,0.08868824980226654,0.10101170683976649,0.016215069513582925,0.005919283212755331,0.02724755256740408,0.0005
current_raw,category,Synthetic factual,baseline,freeze_second,30,12,7,11,0,0.0058177999360007615,-0.00198376321493473,0.013979945525186088,-0.05769517574445443,-0.06635544992313358,-0.04844463549934463,0.9225
current_raw,category,Synthetic factual,baseline,freeze_last,30,0,9,21,0,-0.41566318768705546,-0.42513598828187177,-0.40521732025033935,-0.058485629200759004,-0.06981920807476344,-0.04654422520652969,0.0
current_raw,category,Synthetic factual,baseline,kld,30,1,6,23,0,0.05091086408530808,0.04619917270151484,0.055654135586020885,0.09502682579121416,0.08682876299801894,0.1029695214004894,0.0
current_raw,category,Synthetic factual,baseline,ip,30,4,8,18,0,0.06808860421308122,0.05741640044346634,0.08268017499411326,0.05270585728061547,0.04348606838323348,0.062082224418964674,0.0
current_raw,category,Synthetic factual,freeze_first,freeze_second,30,3,9,18,0,-0.08894386331938635,-0.09491668119479313,-0.08233333333333334,-0.07391024525803735,-0.08172997473373457,-0.06631431661122661,0.0
current_raw,category,Synthetic factual,freeze_first,freeze_last,30,0,5,25,0,-0.5104248509424425,-0.5202935487305104,-0.5004990429177515,-0.07470069871434193,-0.08319422491450292,-0.06640677965260079,0.0
